課程名稱,上課地點,開放報名,開課日期,性質
Linux企業實務應用班第01期,高雄市前鎮區中山二路2號25樓之5,2022/09/15,2022/12/03,在職
韓語初階生活用語班第01期,高雄市三民區博愛一路287號9樓,2022/09/14,2022/10/14,在職
烏克麗麗樂器教學班第02期,高雄市苓雅區中山二路412號6樓之3,2022/09/14,2022/10/14,在職
房地產交易實務班第01期,高雄市苓雅區光華一路206號17樓之5,2022/09/14,2022/10/14,在職
不動產經紀人培訓班第01期,高雄市苓雅區中正二路30號8樓,2022/09/14,2022/10/15,在職
手作實用拼布班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/09/13,2022/10/13,在職
溯溪從業人員訓練班第02期,高雄市鳳山區光華路68號,2022/09/12,2022/10/12,在職
互動式網站JavaScript開發設計與雲端資料庫實務班第01期,高雄市三民區中山一路318號,2022/09/12,2022/11/06,在職
旅遊從業人員 第04期,高雄市,2022/09/12,2022/11/30,職前
國際貿易行銷 第04期,高雄市,2022/09/12,2022/11/22,職前
電腦數值控制-CNC車床 第01期,高雄市,2022/09/12,2022/11/15,職前
智慧電子實務應用 第02期,高雄市,2022/09/12,2022/11/15,職前
機電控制 第02期,高雄市,2022/09/12,2022/11/15,職前
網路管理與通信技術整合實務 第02期,高雄市,2022/09/12,2022/11/15,職前
會展產業(MICE)人才培訓 第03期,高雄市,2022/09/12,2022/11/15,職前
農產品應用實作班第02期,高雄市鳳山區南京路330巷7號,2022/09/11,2022/10/11,在職
Excel商用範例實作班第02期,高雄市三民區堯山街8號,2022/09/11,2022/10/11,在職
